playerName,playerId,teamAbbr,salarySuperCoach,positionSuperCoach,valuePosition,ownershipSuperCoach,pricedAt,age,playerIdVoid,gms,subCount,kicks,handballs,marks,tackles,hitouts,ruckContestPercentage,goals,centreBounceAttendancePercentage,kickins,playOnPercentage,timeOnGroundPercentage,FP,consistency,FPadj,FPfirst,FPsecond,FPreg,FPfin,maxFP,minFP,pointsPerMinute,gm100,gm120,gmSub90,cbaPre,kiPre,poPre,togPre,fpPre,ppmPre,changeOwn,dollarsPerPoint,rankSalary,rankReg,rankAdj,rankFirst,rankSecond
Elliot Yeo,CD_I292128,WCE,564700,MID,MID,0.1,104.8,31,CD_I292128,20,,12.3,10.3,2,6.5,0,0,0.6,72,0,,71,104.8,0.239,104.8,106,103.6,104.8,,157,61,1.18,11,5,5,75,0,,76,96,1.01,0,5388,21,22,24,21,22
Todd Goldstein,CD_I271129,ESS,377200,RUC,RUC,0.3,70,36,CD_I271129,14,,3.1,7.1,1.8,1.9,24.6,58,0.1,67,0,,73,70,0.32,70,67.7,78.3,70,,108,36,0.77,1,0,11,52,0,,68,72,0.88,0,5389,22,24,24,25,21
Patrick Lipinski,CD_I1003130,COL,407600,FWD/MID,FWD,0.9,75.6,26,CD_I1003130,23,1,8,9.5,3.2,3.1,0,0,0.8,5,0,,81,75.7,0.359,78.8,80.2,70.7,75.7,,131,7,0.73,5,1,16,0,0,,88,126,1.23,0,5384,26,27,24,19,44
Karl Amon,CD_I297354,HAW,493900,DEF,DEF,0.4,91.6,29,CD_I297354,25,,17,5.1,5.7,2,0,0,0.2,0,96,98,81,91.6,0.208,91.6,93.1,90.1,91.7,90.5,131,66,0.91,9,2,14,0,8,88,78,96,1,0,5386,23,22,25,24,28
Rory Laird,CD_I293222,ADE,561100,MID,MID,1.1,104.1,31,CD_I293222,23,,11.8,15.8,3.6,5.7,0,0,0.1,50,3,100,77,104.1,0.19,104.1,105.2,103,104.1,,149,65,1.08,13,4,5,61,0,,72,89,0.98,0,5390,23,24,25,24,26
Kieran Strachan,CD_I1008752,ADE,223100,RUC,RUC,0.4,41.4,29,CD_I1008752,2,,6.5,4.5,3.5,3,14.5,66,0.5,75,0,,68,69,0.043,69,,69,69,,72,66,0.82,0,0,2,,,,,,,0,3233,32,25,25,,22
Kyle Langford,CD_I298630,ESS,422200,FWD,FWD,0.4,78.3,28,CD_I298630,23,,8.4,4.2,5.2,2.6,0.2,1,1.9,0,0,,91,78.3,0.373,78.3,79.3,77.4,78.3,,123,16,0.69,6,1,14,0,0,,64,82,1.07,0,5392,22,22,25,21,25
Nick Vlastuin,CD_I294674,RIC,492100,DEF,DEF,0.4,91.3,30,CD_I294674,22,,14.6,5.5,6.8,2.2,0,0,0,0,77,90,89,91.3,0.312,91.3,94,88.1,91.3,,167,45,0.83,8,2,11,,,,,,,0,5390,24,24,26,21,34
Chad Warner,CD_I1012014,SYD,559700,MID,MID,1.8,103.8,23,CD_I1012014,25,,14.4,9,4.2,3.2,0,0,1.4,64,0,,82,103.3,0.292,103.3,113.2,94.5,103.9,99.3,172,38,1.01,13,6,9,,,,,,,0,5387,24,25,26,12,35
Bailey J. Williams,CD_I1006114,WCE,369700,RUC,RUC,1.1,68.6,24,CD_I1006114,23,,6.1,5,1.9,2.6,21,67,0.2,76,0,,77,68.6,0.325,68.6,72,64.9,68.6,,104,23,0.71,1,0,18,54,0,,74,15,0.16,0,5389,23,26,26,24,24
Kai Lohmann,CD_I1014026,BRL,379800,FWD,FWD,2.1,70.5,21,CD_I1014026,27,3,7.3,4.2,3.9,3,0,0,1.3,0,0,,73,71.7,0.379,77.9,66.2,74.4,70.5,79,128,17,0.78,3,1,17,0,0,,76,99,1.14,0,5387,42,42,26,60,32
Harry Himmelberg,CD_I993107,GWS,491700,DEF,DEF,0.3,91.2,28,CD_I993107,25,,13.2,7.6,6.3,2.2,0,0,0,0,73,96,82,91.2,0.195,91.2,89.6,92.8,91.3,90,139,51,0.87,8,1,9,0,4,75,80,92,0.93,0,5386,25,24,27,27,24
Tom Liberatore,CD_I290799,WBD,561700,MID,MID,0.4,104.2,32,CD_I290799,18,,10.6,13.2,2.8,5.6,0,0,0.2,72,0,,78,102.7,0.181,102.7,106.8,102.8,104.2,76,155,76,1.05,10,2,3,87,0,,79,136,1.39,0,5391,22,23,27,19,27
Matt Flynn,CD_I993902,WCE,261900,RUC,RUC,17.3,48.6,27,CD_I993902,4,,3.3,5,2,3.3,24.3,52,0.3,43,0,,61,60.8,0.227,67,81,54,60.8,,81,42,0.79,0,0,4,,,,,,,-0.5,4308,28,28,27,21,26
Elijah Hollands,CD_I1012862,CAR,404900,FWD,FWD,0.4,75.1,22,CD_I1012862,22,,11.4,6.4,4.5,2.6,0,0,0.8,18,1,100,81,75,0.292,77.7,66.2,83.3,75.1,72,116,19,0.73,2,0,16,0,0,,71,48,0.55,0,5391,28,29,27,60,15
Liam Duggan,CD_I298268,WCE,463900,DEF,DEF,0.4,86.1,28,CD_I298268,21,,16.5,5,6.6,2.7,0,0,0.1,21,48,79,82,86.1,0.324,89.4,94.9,74.3,86.1,,134,20,0.84,8,1,10,11,0,,65,34,0.42,0,5388,31,31,28,20,68
Jordan Dawson,CD_I992242,ADE,550300,MID,MID,3.1,102.1,27,CD_I992242,22,,16.6,7.9,5,6.1,0,0,0.5,59,6,100,84,102.1,0.294,102.1,105,98.7,102.1,,168,55,0.97,10,5,7,46,0,,66,90,1.09,0.1,5390,27,28,28,25,30
Matt Rowell,CD_I1009208,GCS,550300,MID,MID,3,102.1,23,CD_I1009208,23,,10.6,12.8,1.4,8,0,0,0.3,76,0,,81,102.1,0.27,102.1,116.5,86.5,102.1,,155,51,1.01,11,8,9,71,0,,67,61,0.74,0,5390,27,28,28,10,58
Dante Visentini,CD_I1017128,PTA,248900,RUC,RUC,0.2,46.2,22,CD_I1017128,3,,3.3,4,1.3,3.3,23.7,52,0.3,62,0,,76,66,0.413,66,84.5,29,66,,94,29,0.68,0,0,2,,,,,,,0,3771,29,27,28,20,34
Sam Switkowski,CD_I992059,FRE,416500,FWD,FWD,0.5,77.3,28,CD_I992059,20,,6.5,8,3.2,5.1,0,0,0.6,4,0,,79,77.3,0.281,77.3,72,81.6,77.3,,128,41,0.79,4,1,16,0,0,,60,76,1.08,0,5388,23,23,28,38,18
Zac Fisher,CD_I999827,NTH,458000,DEF,DEF,0.3,85,26,CD_I999827,18,1,17,7.1,5,0.9,0,0,0,0,89,93,74,85,0.347,89.2,85,85,85,,140,20,0.91,7,2,10,0,6,83,82,132,1.34,0,5388,33,33,29,34,38
Ned Reeves,CD_I1001024,HAW,244600,RUC,RUC,0.7,45.4,26,CD_I1001024,4,,3.3,5,1.8,2.3,22.8,68,0.3,68,0,,68,56.8,0.35,64,64,35,56.8,,89,35,0.69,0,0,4,57,0,,58,42,0.59,0,4306,30,30,29,26,33
Shai Bolton,CD_I993993,FRE,416100,FWD/MID,FWD,10.8,77.2,26,CD_I993993,22,,9.9,6.9,3.8,2.6,0,0,1.5,54,0,,87,77.2,0.322,77.2,84.8,69.6,77.2,,133,36,0.72,3,2,17,39,0,,88,88,0.86,-0.1,5390,24,24,29,14,48
Adam Saad,CD_I295461,CAR,468200,DEF,DEF,1.2,86.9,30,CD_I295461,18,,12.1,6.3,3.9,2.2,0,0,0.1,0,54,56,77,85.3,0.312,88.8,77.9,93.2,86.9,59,133,26,0.88,6,1,8,0,6,67,83,98,0.96,0,5388,30,30,30,59,22
Jai Newcombe,CD_I1020895,HAW,529700,MID,MID,2.5,98.3,23,CD_I1020895,25,,10.5,14.3,3.9,4.4,0,0,0.4,73,0,,82,101.6,0.277,101.6,90.7,106.6,98.3,140,162,61,1,13,7,8,77,0,,84,125,1.2,0,5389,35,36,30,49,17
Mason Cox,CD_I998647,COL,307800,FWD/RUC,RUC,1.5,57.1,33,CD_I998647,16,,4.3,3.2,2.9,1.9,14.8,31,0.4,30,0,,67,57.1,0.305,58.9,53.7,64.6,57.1,,94,30,0.67,0,0,15,28,0,,75,91,1.05,0.1,5391,25,29,30,29,25
Toby Greene,CD_I295344,GWS,426400,FWD,FWD,1.1,79.1,31,CD_I295344,24,,10.7,4.5,4.2,2.4,0,0,1.8,11,0,,91,77.1,0.326,77.1,76.9,81,79.1,55,154,32,0.67,4,1,16,0,0,,75,124,1.34,0,5391,20,20,30,24,20
Wil Powell,CD_I1007881,GCS,477200,DEF,DEF,0.3,88.5,25,CD_I1007881,18,,12.2,6.2,5.4,2.3,0,0,0.1,0,61,90,83,88.6,0.271,88.6,93,85,88.6,,131,44,0.86,7,2,9,0,8,75,77,98,1.03,0,5386,27,27,31,25,38
Hayden Young,CD_I1009256,FRE,546100,MID,MID,1.9,101.3,23,CD_I1009256,23,,13.1,10.7,3.3,5.3,0,0,0.6,65,0,,74,101.3,0.223,101.3,99.3,103.6,101.3,,132,62,1.12,14,6,7,80,0,,75,115,1.31,-0.1,5391,29,30,31,34,22
Darcy Fort,CD_I298211,BRL,190500,RUC,RUC,2.6,35.3,31,CD_I298211,3,,7.3,3.7,2.3,3.7,19.7,58,0.3,56,0,,76,56.3,0.318,56.3,50.5,,50.5,68,70,31,0.6,0,0,3,,,,,,,0.1,3772,33,31,31,30,
Matt Guelfi,CD_I996232,ESS,384600,FWD,FWD,0.1,71.4,27,CD_I996232,13,,5.8,6.2,2.5,3.5,0,0,1.2,0,0,,76,71.4,0.5,76.5,76.3,67.1,71.4,,128,10,0.75,3,1,8,0,0,,69,30,0.36,0,5387,37,37,31,25,55
Aaron Naughton,CD_I1002404,WBD,380300,FWD,FWD,0.4,70.6,25,CD_I1002404,20,,7.4,4.1,5.1,1.1,0.2,0,1.8,1,0,,76,69.3,0.502,76.5,82.4,54.4,70.6,44,127,-3,0.73,3,2,13,3,0,,83,104,1.01,0,5387,40,40,31,16,117
Mason Redman,CD_I997078,ESS,475700,DEF,DEF,0.4,88.3,27,CD_I997078,21,,16.1,5,6,1.7,0,0,0.1,0,65,89,81,88.3,0.238,88.3,92.5,83.6,88.3,,134,55,0.89,6,2,10,0,9,22,63,96,1.27,0,5387,29,29,32,26,42
Hugh McCluggage,CD_I1000978,BRL,528500,MID,MID,0.4,98.1,26,CD_I1000978,27,,14.7,10,5.3,3.7,0,0,0.7,59,0,,82,101.1,0.244,101.1,97.4,98.8,98.1,118.8,161,56,0.97,16,6,9,42,0,,75,162,1.88,0,5387,37,38,32,37,29
Lachlan Keeffe,CD_I290314,GWS,179800,RUC,RUC,0.7,33.4,34,CD_I290314,5,,3.8,3.2,1.6,3.2,18,36,0.2,32,0,,67,56.2,0.312,56.2,,47.7,47.7,69,80,35,0.64,0,0,5,0,0,,73,38,0.42,0,3769,34,32,32,,28
Matt Roberts,CD_I1012210,SYD,434800,DEF,DEF,5.4,80.7,21,CD_I1012210,23,2,12.9,5.4,5.7,2.2,0,0,0.1,0,68,100,73,79.3,0.426,87.9,73.8,87.6,80.7,70.3,161,5,0.88,5,1,14,0,2,100,79,100,1.1,-0.1,5388,48,48,33,70,35
Ollie Wines,CD_I294318,PTA,535400,MID,MID,0.1,99.3,30,CD_I294318,25,,10,13.5,4.1,4.8,0.4,2,0.3,56,0,,70,98.1,0.266,100.8,101.1,97.6,99.4,89,157,34,1.13,11,4,8,76,0,,76,130,1.47,0,5386,32,33,33,32,32
Samson Ryan,CD_I1012386,RIC,237100,FWD/RUC,RUC,1.6,44,24,CD_I1012386,8,,3.9,2.6,2.4,0.9,7.9,27,0.4,23,0,,68,44,0.549,48.1,41.7,45.4,44,,83,15,0.52,0,0,8,33,0,,58,33,0.49,0,5389,31,34,33,31,30
Cam Rayner,CD_I1002235,BRL,422600,FWD,FWD,0.8,78.4,25,CD_I1002235,27,,8.5,6.9,3.5,3.1,0,0,1.1,22,0,,80,75.7,0.384,75.7,71.4,84.9,78.4,60.3,137,8,0.74,6,2,17,38,0,,78,88,0.98,0,5390,21,21,33,39,14
Josh Worrell,CD_I1011981,ADE,458000,DEF,DEF,0.1,85,23,CD_I1011981,13,,11.9,6,5.2,1.5,0,0,0,0,37,86,79,85,0.228,87.7,86.7,81.3,85,,122,53,0.85,4,1,8,0,2,100,84,89,0.84,0,5388,33,33,34,32,51
George Hewett,CD_I294036,CAR,496500,MID,MID,0.1,92.1,29,CD_I294036,22,2,10.7,12.7,2.8,4.6,0,0,0.3,68,0,,73,93.8,0.327,100.6,87.4,98.4,92.1,128,135,12,1.01,12,4,7,68,0,,78,101,1.05,0,5391,43,44,34,58,31
Liam Reidy,CD_I1023346,FRE,132600,RUC,RUC,4.4,24.6,24,CD_I1023346,2,,3,2,0,3.5,25,64,0,69,0,,68,41,0.293,41,,41,41,,53,29,0.48,0,0,2,44,0,,46,20,0.37,0.2,3234,36,35,34,,31
James Harmes,CD_I297899,WBD,380600,FWD/MID,FWD,0.1,70.6,29,CD_I297899,9,,7.9,7.4,4.1,2.8,0,0,0.8,10,0,,69,67.7,0.547,75.6,70.6,,70.6,44,139,4,0.77,1,1,7,30,0,,72,74,0.83,0,5391,39,40,34,42,
Lawson Humphries,CD_I1013464,GEE,418500,DEF,DEF,1.9,77.6,21,CD_I1013464,11,,12.5,4.5,5.9,1.7,0,0,0.1,0,16,75,77,83.6,0.272,87.3,,77.7,77.7,110.5,125,47,0.87,3,1,6,,,,,,,0,5386,59,60,35,,59
Peter Ladhams,CD_I997142,SYD,262800,FWD/RUC,RUC,0.3,48.8,27,CD_I997142,1,,3,3,2,2,10,31,0,33,0,,79,38,0,38,,38,38,,38,38,0.39,0,0,1,29,0,,71,94,1.15,0,6916,27,36,35,,32
Connor Macdonald,CD_I1017094,HAW,400600,FWD,FWD,0.4,74.3,22,CD_I1017094,25,,10,7.5,5.3,2.8,0,0,1.1,1,0,,81,74.7,0.332,74.7,68.1,81.2,74.3,79,119,35,0.74,5,0,18,0,0,,89,96,0.87,0,5392,29,30,35,55,19
Zach Guthrie,CD_I1004870,GEE,451200,DEF,DEF,0.4,83.7,26,CD_I1004870,25,,13.4,4.8,6,2.4,0,0,0.2,0,64,88,83,86.2,0.23,86.2,85.9,81.4,83.7,115,133,57,0.82,7,1,13,0,2,100,75,58,0.64,0,5391,39,39,36,33,50
Ed Richards,CD_I1008280,WBD,531000,MID,MID,2.9,98.5,25,CD_I1008280,21,,13,8.3,4.6,3.7,0,0,0.5,44,5,60,79,97.2,0.263,98.3,93.3,103.8,98.6,71,163,64,0.98,8,3,11,0,2,100,90,80,0.72,0,5385,34,35,36,44,21
Jamie Cripps,CD_I290826,WCE,399900,FWD,FWD,0.1,74.2,32,CD_I290826,23,,8.4,5.9,4.5,3.3,0,0,1.2,0,0,,89,74.2,0.267,74.2,75.3,73.1,74.2,,116,34,0.67,3,0,19,4,0,,90,47,0.42,0,5389,30,31,36,30,38
Trent Rivers,CD_I1009378,MEL,462900,DEF/MID,DEF,3.4,85.9,23,CD_I1009378,23,,13.3,8,5.3,2.6,0,0,0.1,30,12,100,78,85.9,0.276,85.9,78,94.5,85.9,,143,45,0.89,5,2,12,0,0,,84,80,0.78,-0.1,5389,32,32,37,58,19
Kysaiah Pickett,CD_I1008541,MEL,395400,FWD,FWD,0.5,73.4,23,CD_I1008541,21,,9.6,3,2.7,3.6,0,0,1.7,33,0,,83,73.4,0.349,73.4,68.5,77.8,73.4,,122,22,0.71,3,2,16,32,0,,80,102,1.04,0,5387,31,32,37,53,24
Connor Idun,CD_I1008083,GWS,458000,DEF,DEF,0.1,85,24,CD_I1008083,25,,9,10.1,6.8,1.4,0,0,0,0,9,100,92,85.4,0.176,85.4,80.8,88.8,85,90.5,120,39,0.73,4,1,16,0,0,,83,82,0.8,0,5388,33,33,38,43,33
Tim Taranto,CD_I998172,RIC,509400,MID,MID,1.3,94.5,27,CD_I998172,15,,12.3,12.7,3.5,5.3,0,0,0.4,73,0,,80,94.5,0.273,97.9,94.8,94.4,94.5,,139,48,0.96,8,3,5,61,0,,78,115,1.27,0,5390,39,40,38,41,38
Tyson Stengle,CD_I997230,GEE,392200,FWD,FWD,0.7,72.8,26,CD_I997230,25,,8.9,4.5,2.7,2.3,0,0,1.8,0,0,,82,72.4,0.327,72.4,74.5,70.9,72.8,68,113,26,0.69,3,0,17,0,0,,82,103,1.05,0,5387,32,33,38,32,42
Jack Graham,CD_I990827,WCE,376000,FWD/MID,FWD,1.4,69.8,27,CD_I990827,14,,7.3,10.1,2.1,4.4,0,0,0.1,37,0,,71,69.8,0.304,72.4,68.8,70.3,69.8,,98,35,0.79,0,0,11,0,0,,76,51,0.58,0.1,5387,46,47,38,50,45
Jayden Short,CD_I992049,RIC,442300,DEF,DEF,10.8,82.1,29,CD_I992049,22,,17.5,4.5,5,1.1,0,0,0,0,95,87,76,82.1,0.339,85.3,73.3,90.9,82.1,,130,15,0.87,7,1,14,0,9,78,85,120,1.22,-0.1,5387,45,45,39,71,27
Connor Rozee,CD_I1001299,PTA,529400,MID,MID,5.9,98.2,25,CD_I1001299,23,,14.6,9,4.3,4.4,0,0,0.7,62,0,,81,96.6,0.3,96.6,92.3,103.1,98.3,85.3,168,39,0.97,12,3,8,52,0,,73,113,1.33,0.1,5386,36,36,39,46,25
Will Day,CD_I1008550,HAW,491300,MID,MID,17.9,91.2,23,CD_I1008550,16,,9.1,10.2,2.7,4.6,0,0,0.2,61,3,67,71,91.2,0.393,96.6,96.7,87.9,91.2,,142,10,1.04,9,3,6,,,,,,,1.3,5387,44,45,39,38,51
Christian Salem,CD_I296359,MEL,431100,DEF,DEF,0.3,80,29,CD_I296359,17,,13.3,6.7,5.8,2.8,0,0,0.1,12,15,100,74,80,0.36,84.8,76.8,83.6,80,,121,3,0.86,4,1,9,79,0,,74,102,1.12,0,5389,49,49,40,63,42
Peter Wright,CD_I298289,ESS,378300,FWD,FWD,0.1,70.2,28,CD_I298289,14,,6.5,4.8,4.3,1.4,8.5,18,1.4,13,0,,79,70.2,0.299,72.2,77.4,60.7,70.2,,119,42,0.71,1,0,12,20,0,,48,16,0.28,0,5389,43,44,40,23,87
Jake Lloyd,CD_I295342,SYD,444400,DEF/MID,DEF,0.7,82.4,31,CD_I295342,26,,12.3,7.4,6.4,1.8,0,0,0.2,0,38,97,85,84.5,0.231,84.5,82.8,82.2,82.5,99.7,132,53,0.8,4,2,17,,,,,,,0,5387,44,44,41,38,46
Josh Kelly,CD_I296347,GWS,538500,MID,MID,0.3,99.9,30,CD_I296347,17,,13,11.3,4.2,3.6,0,0,0.9,38,0,,84,96.5,0.176,96.5,104.8,92.7,99.9,71,132,69,0.91,5,2,5,32,0,,56,69,1,0,5390,30,31,41,27,44
Bradley Hill,CD_I295584,STK,388500,FWD/MID,FWD,0.7,72.1,31,CD_I295584,22,,12.4,7,5.4,1.6,0,0,0.3,0,4,100,83,72.1,0.292,72.1,79.7,63,72.1,,132,34,0.71,2,1,19,0,0,,83,91,0.91,0,5388,35,35,41,20,73
Jeremy Howe,CD_I291313,COL,436700,DEF,DEF,0.2,81,34,CD_I291313,19,,11.8,3.2,5.2,1.6,0,0,0.3,0,80,90,85,81.1,0.35,84.4,72.2,89,81.1,,144,21,0.74,5,1,11,,,,,,,0,5385,47,47,42,76,31
Jye Caldwell,CD_I1006103,ESS,506300,MID,MID,0.3,93.9,24,CD_I1006103,23,,11,11.7,4.1,6.5,0,0,0.3,46,0,,75,94,0.235,95.6,89,99.4,94,,134,53,1.01,10,3,8,24,0,,78,44,0.47,0,5386,41,42,42,53,28
Jack Ginnivan,CD_I1012857,HAW,386900,FWD,FWD,1.5,71.8,22,CD_I1012857,23,,10.2,6.3,3.9,2.7,0,0,1.2,0,0,,81,72,0.32,72,68.9,75.7,71.8,74,137,42,0.71,2,1,17,0,0,,76,80,0.85,0,5389,36,36,42,49,29
Zac Williams,CD_I294685,CAR,366400,DEF/FWD,FWD,0.8,68,30,CD_I294685,19,,9.4,3.5,3.7,2.3,0,0,0.8,1,22,64,72,66.5,0.324,72,71.1,63.1,68,40,98,7,0.73,0,0,17,,,,,,,0,5388,52,53,42,40,71
Lincoln McCarthy,CD_I293581,BRL,339500,FWD,FWD,0.1,63,31,CD_I293581,8,,9.3,3,3.8,2.6,0,0,1,0,0,,71,63,0.446,72,63,,63,,100,0,0.7,1,0,7,0,0,,62,62,0.87,0,5389,76,76,42,72,
Josh Battle,CD_I998134,HAW,454300,DEF,DEF,0.8,84.3,26,CD_I998134,23,,11,6.8,7.6,1.3,0,1,0.1,1,5,80,90,84.3,0.268,84.3,79,90.1,84.3,,119,39,0.77,7,0,12,,,,,,,0,5389,37,37,43,52,28
Tim Kelly,CD_I295898,WCE,514300,MID,MID,0.2,95.4,30,CD_I295898,20,,12,11.9,2.8,4.9,0,0,0.2,77,0,,82,95.5,0.23,95.5,95.9,94.9,95.5,,139,53,0.94,6,4,8,75,0,,74,98,1.05,0,5385,38,39,43,40,34
Kane Farrell,CD_I1002253,PTA,445000,DEF,DEF,0.6,82.6,25,CD_I1002253,22,,14.6,4.6,5,2.5,0,0,0.3,0,85,96,79,82.6,0.285,84.1,79.3,86.6,82.6,,115,33,0.84,8,0,13,0,2,100,80,103,1.1,-0.1,5387,43,43,44,50,36
James Rowbottom,CD_I1006126,SYD,509300,MID,MID,0.1,94.5,24,CD_I1006126,24,,9.8,9.2,2,7.8,0,0,0.3,71,0,,79,95.1,0.272,95.1,94.6,94.4,94.5,99,163,51,0.96,8,3,9,67,0,,77,101,1.14,0,5389,40,40,44,42,38
Tom Barrass,CD_I990290,HAW,452000,DEF,DEF,1,83.9,29,CD_I990290,18,,9.4,4,6.8,0.8,0.2,0,0,0,5,20,94,83.9,0.282,83.9,83.8,84,83.9,,121,27,0.72,5,1,10,0,1,100,97,66,0.54,0,5387,38,38,45,37,41
Jack Scrimshaw,CD_I998114,HAW,441800,DEF,DEF,0.3,82,26,CD_I998114,24,,11.8,6.3,5.9,1.5,0,0,0,0,55,89,80,83.9,0.199,83.9,82.1,81.9,82,105,118,45,0.85,3,0,15,0,4,100,81,78,0.78,0,5388,46,46,45,40,47
Massimo D'Ambrosio,CD_I1005144,HAW,472500,MID,MID,2.1,87.7,21,CD_I1005144,24,,12.5,8.7,5,2,0,0,0.3,0,5,80,77,88.8,0.294,92.8,82,93.4,87.7,101,134,30,0.93,11,3,9,0,0,,76,77,0.82,0,5388,51,51,45,72,43
Zac Bailey,CD_I1002312,BRL,379900,FWD/MID,FWD,1,70.5,25,CD_I1002312,22,,9.9,6.4,4.3,2.4,0,0,1,13,0,,76,71.8,0.234,71.8,73.8,68.8,70.5,77.5,110,26,0.74,1,0,19,,,,,,,0.1,5389,41,42,45,33,50
Blake Acres,CD_I296294,CAR,500600,MID,MID,0.2,92.9,29,CD_I296294,23,,12.7,9.7,6,2.8,0,0,0.6,0,1,0,86,92.3,0.24,92.3,97.9,86.9,92.9,80,129,41,0.85,10,2,8,0,0,,83,82,0.8,0,5389,42,43,46,36,56
Cody Weightman,CD_I1011803,WBD,376200,FWD,FWD,0.5,69.8,24,CD_I1011803,17,,6.8,3.9,2.5,3.5,0,0,1.6,2,0,,78,67.3,0.484,71.4,65.3,73.3,69.8,27,135,2,0.69,2,1,13,17,0,,77,59,0.62,-0.1,5390,45,47,46,62,36
Harris Andrews,CD_I996059,BRL,449400,DEF,DEF,0.7,83.4,28,CD_I996059,26,,9.6,3.8,7.5,1.4,0,0,0,0,6,50,95,83,0.232,83,94,72.8,83.4,81,120,52,0.69,5,1,17,0,0,,91,96,0.92,0,5388,41,41,47,21,74
Sam Durham,CD_I1015810,ESS,482300,MID,MID,1.3,89.5,23,CD_I1015810,22,,10.7,10.7,4,4.4,0,0,0.5,48,0,,75,89.5,0.207,91.9,87.9,91.1,89.5,,122,39,0.96,6,1,10,68,0,,69,75,0.91,0,5389,48,48,47,56,48
Caleb Daniel,CD_I295136,NTH,269100,FWD/MID,FWD,69.5,49.9,28,CD_I295136,16,7,7.8,6.2,2.8,1.9,0,0,0.1,0,1,100,57,52.9,0.575,71,51.9,47.7,49.9,98,107,10,0.73,1,0,13,0,0,,45,21,0.38,0.1,5393,145,147,47,127,144
Lachie Ash,CD_I1009253,GWS,456700,DEF,DEF,0.4,84.7,23,CD_I1009253,19,,12.8,7.5,5.3,1.7,0,0,0.1,0,46,98,77,82.9,0.298,82.9,81,89,84.8,67,131,21,0.85,4,2,12,,,,,,,0,5386,36,36,48,42,31
Jack Bowes,CD_I998260,GEE,449100,MID,MID,0.1,83.3,27,CD_I998260,22,3,11.5,6.8,3.1,4.7,0,0,0.5,39,7,71,68,82.7,0.399,90.8,82.1,84.4,83.4,76.5,146,28,0.95,8,4,12,16,0,,30,61,1.7,0,5385,63,61,48,71,65
Jack Higgins,CD_I1002227,STK,381500,FWD,FWD,0.2,70.8,25,CD_I1002227,20,,6.6,5.6,3,2.5,0,0,1.8,0,0,,83,70.8,0.333,70.8,75.4,67,70.8,,111,26,0.7,4,0,16,0,0,,78,43,0.46,0,5388,38,39,48,29,56
Taylor Adams,CD_I291776,SYD,370100,FWD/MID,FWD,0.4,68.7,31,CD_I291776,19,1,8.4,8.8,3,3.6,0,0,0.5,29,0,,67,68.7,0.321,70.8,72.9,66.3,68.7,,115,29,0.82,1,0,16,42,0,,50,43,0.75,0,5387,49,50,48,36,61
Jarman Impey,CD_I296254,HAW,450000,DEF,DEF,0.2,83.5,29,CD_I296254,25,,12.6,6.2,5.6,2.4,0,0,0.1,0,9,100,82,81.8,0.226,81.8,82.8,84.3,83.5,61.5,138,49,0.8,4,1,18,0,1,100,57,77,1.09,0,5389,40,40,49,38,40
Willem Drew,CD_I1000972,PTA,487800,MID,MID,0.2,90.5,26,CD_I1000972,26,,10.9,8.5,3.6,6.1,0,0,0.2,56,0,,80,90.3,0.3,90.3,93.8,87,90.5,89,163,52,0.9,8,3,16,68,0,,75,94,1.07,0,5390,46,46,49,43,55
Mitch Duncan,CD_I281065,GEE,423300,DEF,DEF,0.2,78.5,33,CD_I281065,22,2,12.6,6,5.6,1.9,0,0,0.1,1,42,81,72,75.8,0.391,81.2,80.8,76.3,78.6,48,128,10,0.83,3,1,16,32,2,100,71,81,0.95,0.1,5385,54,54,50,43,63
Scott Pendlebury,CD_I260257,COL,465800,MID,MID,0.3,86.4,37,CD_I260257,20,,11,9.7,3.1,4,0,0,0.4,65,3,100,73,86.5,0.354,89.8,86.3,86.7,86.5,,147,23,0.92,9,2,10,,,,,,,0,5385,54,54,50,62,57
Sam Day,CD_I291753,BRL,302600,FWD,FWD,0.2,56.1,32,CD_I291753,5,,5.4,3.6,5.4,1.8,5,10,2,12,0,,66,70.2,0.164,70.2,73,68.3,70.2,,80,48,0.83,0,0,5,,,,,,,0,4311,111,44,50,35,52
Darcy Wilmot,CD_I1017067,BRL,449100,DEF,DEF,0.4,83.3,21,CD_I1017067,27,,13.7,6.1,4.9,1.7,0,0,0,0,64,97,80,81,0.232,81,80.2,86.3,83.3,67.8,119,35,0.79,3,0,20,0,2,100,79,77,0.85,0,5391,42,42,51,47,37
John Noble,CD_I1000072,GCS,421400,DEF,DEF,0.9,78.2,27,CD_I1000072,20,1,11.8,7.2,4.7,2.7,0,0,0.1,0,22,100,76,78.2,0.307,81,80.4,76,78.2,,111,25,0.8,4,0,11,0,5,100,79,98,1.07,0,5389,55,56,51,46,65
Josh Daicos,CD_I1005054,COL,482600,MID,MID,1.3,89.5,26,CD_I1005054,23,,14.2,10.7,5.2,3.2,0,0,0.3,10,13,100,88,89.6,0.263,89.6,87.3,92.1,89.6,,140,50,0.8,9,3,11,6,0,,64,83,1.12,0,5386,47,47,51,59,46
