"Pos","Pos2","Player","Club","Relative Value","RV_info","vs. Next Pick","VNP_info","WaiverStr","WS_info","max_ws","Av.24","Projected","ADP","Risk","DPP","ID_AFLFAN","Coach_name","position.field","pick","Coach_pick","Role.24","Gm.24","Age","Notes"
"Mid","","Finn Callaghan","GWS","2.2","No DPP   No Inj Adjustment.","","","5.3","","10.3","76.3","75.2","126","Low","No","1023266","","","","","Out.mid","24","21","Role: Likely to get more midfield time in 2025. Expect scoring boost."
"Mid","","Willem Drew","PTA","8","Inj Adjust: -1.4","","","3","","12.6","83.8","80.2","127","Medium","No","1000972","","","","","In.mid","26","26","Interrupted pre-season: knee & planta fascia, might play round 1. Scoring likely to fall."
"Mid","Fwd","Darcy Wilson","STK","3.9","Mid: -8.7  Fwd: 3.9  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","10","Mid: 10.0  Fwd: 12.3","5.6","65.4","69.1","128","Low","Yes","1027875","","","","","Gen Fwd","23","19","Role: Good outside player, great first season. Scoring may increase. Punt."
"Mid","","Will Setterfield","ESS","24.9","No DPP   No Inj Adjustment.","","","0.7","","14.9","99","84.4","129","High","No","998215","","","","","In.mid","4","26","Injury impacted 2024 and injury history. If fit he's a solid inside mid possible of 90. May not be in best 22."
"Mid","Fwd","Bradley Hill","STK","12.7","Mid: 0.1  Fwd: 12.7  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","6.1","Mid: 6.1  Fwd: 6.6","9.5","74.2","77.4","130","Low","Yes","295584","","","","","Gen Fwd","22","31",""
"Mid","","Sam Durham","ESS","8.9","No DPP   No Inj Adjustment.","","","3.2","","12.4","83","79.8","131","Low","No","1015810","","","","","Out.mid","22","23",""
"Mid","","Lachlan Sholl","ADE","11.2","No DPP   No Inj Adjustment.","","","2.7","","12.9","85.3","80.8","132","Medium","No","1006136","","","","","Distributor","20","24",""
"Fwd","","Jake Waterman","WCE","15.1","No DPP   No Inj Adjustment.","","","5.4","","10.2","76.6","64.4","133","High","No","996554","","","","","Key Fwd","20","26","Interrupted pre-season: Back. Best fantasy year in 2024. May not repeat in 2025."
"Fwd","","Jack Ginnivan","HAW","11.3","No DPP   No Inj Adjustment.","","","7.3","","8.3","72.8","66.9","134","Low","No","1012857","","","","","Gen Fwd","23","22","Interrupted pre-season: Adductor. Likely to play round 1. Went on scoring runs in 2024, matchup dependent."
"Def","","Lachie Ash","GWS","11.3","No DPP   No Inj Adjustment.","","","3.3","","12.3","75.8","77.8","135","Medium","No","1009253","","","","","Distributor","19","23",""
"Mid","","Will Brodie","FRE","","No DPP   No Inj Adjustment.","","","","","","","82.8","136","Medium","No","998129","","","","","","","26",""
"Def","","Harry Himmelberg","GWS","16.7","No DPP   No Inj Adjustment.","","","2","","13.6","81.2","77","137","Low","No","993107","","","","","Distributor","25","28",""
"Mid","Fwd","Jack Billings","MEL","2.1","Mid: -10.5  Fwd: 2.1  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","10.9","Mid: 10.9  Fwd: 13.8","4.7","63.6","68.2","138","Medium","Yes","296351","","","","","Gen Fwd","16","29",""
"Fwd","","Shaun Mannagh","GEE","14.2","No DPP   No Inj Adjustment.","","","5.8","","9.8","75.7","85.4","139","Medium","No","993878","","","","","Gen Fwd","12","27","Role: Forward mid rotation. Punt."
"Def","","Christian Salem","MEL","15.8","No DPP   No Inj Adjustment.","","","2.1","","13.5","80.3","82.1","140","Medium","No","296359","","","","","Distributor","17","29","Soft tissue injury prone. Can be a decent scorer off half back if healthy."
"Ruck","","Sean Darcy","FRE","-11.3","No DPP   No Inj Adjustment.","","","0","","15.6","71.8","80.6","141","High","No","998145","","","","","Ruck","13","26","Injury: Ankle, missing early games in the season. Severely interrupted pre-season."
"Mid","","James Peatling","ADE","-10","No DPP   No Inj Adjustment.","","","10.7","","4.9","64.1","70.5","142","High","No","1006013","","","","","In.mid","19","24","Role: Forward/midfield rotation. Traded to Adelaide."
"Mid","","Adam Cerra","CAR","-1.6","No DPP   No Inj Adjustment.","","","6.7","","8.9","72.5","85.3","143","Medium","No","1002239","","","","","Out.mid","13","25","Off season hamstring treatment."
"Mid","","Jacob Hopper","RIC","8.4","No DPP   No Inj Adjustment.","","","3.4","","12.2","82.5","77.4","144","Medium","No","993903","","","","","Out.mid","12","27","Injury risk, availability reduces Tarantos scoring."
"Mid","","James Worpel","HAW","3.2","No DPP   No Inj Adjustment.","","","4.9","","10.7","77.3","82.7","145","Medium","No","1002222","","","","","In.mid","25","26",""
"Mid","","Jarrod Berry","BRL","10.9","No DPP   No Inj Adjustment.","","","2.8","","12.8","85","78.6","146","Medium","No","998133","","","","","Out.mid","27","26",""
"Mid","","Dylan Shiel","ESS","3.1","No DPP   No Inj Adjustment.","","","5","","10.6","77.2","77.9","147","High","No","291783","","","","","In.mid","9","31","Role: Change to half back distributor potentially. Unreliable player due to injury."
"Def","","Josh Battle","HAW","9.2","No DPP   No Inj Adjustment.","","","4","","11.6","73.7","70.1","148","Medium","No","998134","","","","","Def","23","26","Traded to HAW, scoring likely wont change much."
"Def","","Mitchell Hinge","ADE","18.2","No DPP   No Inj Adjustment.","","","1.7","","13.9","82.7","75.4","149","Medium","No","1004863","","","","","Distributor","22","26","Role: Distributor but not prolific scorer, ADE system doesn’t use much half back drive."
"Def","","John Noble","GCS","9.8","No DPP   No Inj Adjustment.","","","3.8","","11.8","74.3","75.1","150","Low","No","1000072","","","","","Distributor","20","27","More secure role at GCS. Will get scoring boost in this team with half back role. Punt."
"Mid","","Harley Reid","WCE","-7.3","No DPP   No Inj Adjustment.","","","9.3","","6.3","66.8","71.1","151","Low","No","1023492","","","","","In.mid","20","19","Ankle niggle, unlikely to impact scoring. Punt."
"Def","Mid","Archie Roberts","ESS","20.5","Def: 20.5  Mid: 10.9  No Inj Adjustment.","","Def: Inf  Mid: Inf","1.3","Mid: 2.8  Def: 1.3","14.3","85","78.5","152","High","Yes","1023515","","","","","Distributor","4","19","Role: Wing/Half Back."
"Mid","Fwd","Patrick Lipinski","COL","7.2","Mid: -5.4  Fwd: 7.2  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","8.4","Mid: 8.4  Fwd: 9.9","7.2","68.7","73.8","153","Low","Yes","1003130","","","","","Gen Fwd","23","26","Reliable forward, will typically score 70+ with some mid time."
"Mid","Fwd","Zac Bailey","BRL","8","Mid: -4.6  Fwd: 8  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","8","Mid: 8.0  Fwd: 9.4","7.6","69.5","74.4","154","Low","Yes","1002312","","","","","Gen Fwd","22","25",""
"Mid","","Tom Powell","NTH","4.6","No DPP   No Inj Adjustment.","","","4.5","","11.1","78.7","64.3","155","Low","No","1011659","","","","","Out.mid","23","22","Role variable, can score well in midfield. Punt. May take wardlaws mid time while he is injured."
"Mid","","Patrick Dangerfield","GEE","4.3","No DPP   No Inj Adjustment.","","","4.6","","11","78.4","79.8","156","Medium","No","270917","","","","","In.mid","16","34","Unlikely to play all games, injury prone as he gets older."
"Fwd","","Riley Thilthorpe","ADE","6.8","No DPP   No Inj Adjustment.","","","10.2","","5.4","68.3","61.1","157","Medium","No","1008384","","","","","Key Fwd","7","22",""
"Def","","Zach Guthrie","GEE","12.7","No DPP   No Inj Adjustment.","","","2.9","","12.7","77.2","80.3","158","Low","No","1004870","","","","","Def","25","26","Role: Distributor, Holmes moving more mid will see him be used as a designated kicker."
"Def","","Callum Wilkie","STK","9.4","No DPP   No Inj Adjustment.","","","3.9","","11.7","73.9","90.1","159","Low","No","296422","","","","","Def","23","28",""
"Mid","","Ed Langdon","MEL","5.2","No DPP   No Inj Adjustment.","","","4.3","","11.3","79.3","78.9","160","Low","No","298264","","","","","Gen Fwd","22","28",""
"Def","","Lawson Humphries","GEE","7.7","No DPP   No Inj Adjustment.","","","4.5","","11.1","72.2","81.6","161","Medium","No","1013464","","","","","Distributor","11","21","Role: Distributor. Great 2024 season, best 22, scoring likely to increase. Punt."
"Mid","","Jack Crisp","COL","9","No DPP   No Inj Adjustment.","","","3.2","","12.4","83.1","81","162","Low","No","293871","","","","","In.mid","23","31","Role: Variable, 2024 Mid/Half back, 2025 wing reported."
"Mid","","Jake Soligo","ADE","2.8","No DPP   No Inj Adjustment.","","","5.1","","10.5","76.9","74.3","163","Low","No","1017109","","","","","In.mid","23","22",""
"Def","","Jeremy McGovern","WCE","15.9","No DPP   No Inj Adjustment.","","","2.1","","13.5","80.4","79.9","164","High","No","294859","","","","","Def","19","32","Often misses games due to injury, but scores well as interceptor + Kos"
"Fwd","","Kyle Langford","ESS","9.1","No DPP   No Inj Adjustment.","","","8.7","","6.9","70.6","64.9","165","Low","No","298630","","","","","Key Fwd","23","28",""
"Mid","","Bailey Scott","NTH","5.9","No DPP   No Inj Adjustment.","","","4.1","","11.5","80","80.3","166","Medium","No","1006058","","","","","Distributor","23","24",""
"Fwd","","Cam Rayner","BRL","6.3","No DPP   No Inj Adjustment.","","","10.5","","5.1","67.8","73.8","167","Low","No","1002235","","","","","Gen Fwd","27","25","Good footballer, poor fantasy scorer. Last draft Punt."
"Mid","Fwd","James Harmes","WBD","3.6","Mid: -9  Fwd: 3.6  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","10.2","Mid: 10.2  Fwd: 12.6","5.4","65.1","62.6","168","High","Yes","297899","","","","","Gen Fwd","9","29",""
"Mid","","Dion Prestia","RIC","-1.7","No DPP   No Inj Adjustment.","","","6.8","","8.8","72.4","72.5","169","High","No","290627","","","","","Out.mid","13","32","Managed loads, injury prone."
"Def","","Mitch Duncan","GEE","10","No DPP   No Inj Adjustment.","","","3.7","","11.9","74.5","79.3","170","Medium","No","281065","","","","","Distributor","22","33","Age is a risk factor. Beginning to be phased out."
"Mid","","Oliver Hollands","CAR","-12","No DPP   No Inj Adjustment.","","","11.7","","3.9","62.1","68.1","171","Low","No","1023495","","","","","Distributor","23","21","Role: Half Back Distributor. Likely DPP Rd6."
"Mid","","Jordan De Goey","COL","5.7","No DPP   No Inj Adjustment.","","","4.1","","11.5","79.8","84.4","172","Medium","No","994185","","","","","In.mid","13","28","Interrupted pre-season: Groin and bone bruising. Injury prone."
"Def","Mid","Miles Bergman","PTA","8.8","Def: 8.8  Mid: -0.8  No Inj Adjustment.","","Def: Inf  Mid: Inf","4.1","Mid: 6.4  Def: 4.1","11.5","73.3","74","173","Low","Yes","1009191","","","","","Def","26","23",""
"Def","","Steven May","MEL","11.3","No DPP   No Inj Adjustment.","","","3.3","","12.3","75.8","75.6","174","Medium","No","281085","","","","","Def","19","33",""
"Mid","","George Wardlaw","NTH","2.5","Inj Adjust: -1","","","4.6","","11","78.2","78","175","High","No","1023477","","","","","In.mid","18","20","Injury: Hamstring, est. return rd. 9"
"Def","","Oliver Florent","SYD","11.8","No DPP   No Inj Adjustment.","","","3.1","","12.5","76.3","78.2","176","Medium","No","998103","","","","","Distributor","26","26",""
"Mid","","Xavier Duursma","ESS","7.7","No DPP   No Inj Adjustment.","","","3.6","","12","81.8","75.9","177","High","No","1006096","","","","","Distributor","15","24",""
"Def","","Nick Haynes","CAR","7","No DPP   No Inj Adjustment.","","","4.8","","10.8","71.5","72.3","178","High","No","295265","","","","","Def","8","32","Under rated fantasy scorer. Could get a bump from Newman's injury. Traded to Carlton."
"Def","","Jarman Impey","HAW","12","No DPP   No Inj Adjustment.","","","3.1","","12.5","76.5","77.9","179","Low","No","296254","","","","","Distributor","25","29","Decent scorer off half-back. Sicily moves forward his scoring should increase."
"Def","","Jason Johannisen","WBD","15.1","Inj Adjust: -3.3","","","1.5","","14.1","83.8","61.6","180","High","No","294101","","","","","Distributor","9","32","Injury: Calf. Injury history, unlikely to play full season."
"Ruck","Fwd","Max Heath","STK","","No DPP   No Inj Adjustment.","","Ruck: NA  Fwd: NA","","","","","0","181","Medium","Yes","1015886","","","","","","","22",""
"Ruck","","Marc Pittonet","CAR","-17.8","No DPP   No Inj Adjustment.","","","0.1","","15.5","68.4","67.2","182","Medium","No","298290","","","","","Ruck","14","28",""
"Ruck","","Bailey J. Williams","WCE","-22.2","No DPP   No Inj Adjustment.","","","0.1","","15.5","64","71.5","183","Medium","No","1006114","","","","","Ruck","23","24","Role: Currently first choice ruck, could change with Matt Flynn."
"Mid","","Jase Burgoyne","PTA","3.3","No DPP   No Inj Adjustment.","","","4.9","","10.7","77.4","74.1","184","Low","No","1013462","","","","","Distributor","23","21","Role: Wing."
"Def","","Darcy Wilmot","BRL","9","No DPP   No Inj Adjustment.","","","4","","11.6","73.5","72.6","185","Low","No","1017067","","","","","Distributor","27","21","Role: Distributor. With Coleman taking longer to get back, should get points."
"Mid","","Jagga Smith","CAR","","No DPP   No Inj Adjustment.","","","","","","","0","186","High","No","1028515","","","","","","","19","Punt, good junior scorer."
"Ruck","Fwd","Peter Ladhams","SYD","-24.5","Ruck: -49.2  Fwd: -24.5  No Inj Adjustment.","","Ruck: Inf  Fwd: Inf","0.5","Fwd: 40.6  Ruck: 0.5","15.1","37","73.3","187","Medium","Yes","997142","","","","","Ruck","1","27",""
"Fwd","","Tom Papley","SYD","5.1","No DPP   No Inj Adjustment.","","","11.4","","4.2","66.6","71.7","188","Low","No","996765","","","","","Gen Fwd","21","28","With midfield depth he's likely to get fewer CBAS."
"Def","","Adam Saad","CAR","5.3","No DPP   No Inj Adjustment.","","","5.4","","10.2","69.8","71.3","189","Medium","No","295461","","","","","Distributor","18","30","Soft tissue injury history"
"Def","","Wil Powell","GCS","10.2","No DPP   No Inj Adjustment.","","","3.6","","12","74.7","76.7","190","Medium","No","1007881","","","","","Distributor","18","25","Previously up and coming distributor off half back. In and out of side. Punt."
"Mid","","Scott Pendlebury","COL","5.1","No DPP   No Inj Adjustment.","","","4.3","","11.3","79.2","79.7","191","High","No","260257","","","","","In.mid","20","37",""
"Mid","","Jeremy Sharp","FRE","-1.1","No DPP   No Inj Adjustment.","","","6.5","","9.1","73","72.2","192","Medium","No","1009380","","","","","Gen Fwd","23","23",""
"Mid","Fwd","Elijah Hewett","WCE","","No DPP   No Inj Adjustment.","","Mid: NA  Fwd: NA","","","","","39.1","193","Medium","Yes","1020670","","","","","","","20","Role: 70:30 Mid Fwd split. Fit again, likely best 22 off half back. Punt."
"Mid","Fwd","Taylor Adams","SYD","6","Mid: -6.6  Fwd: 6  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","9","Mid: 9.0  Fwd: 10.7","6.6","67.5","67.6","194","Medium","Yes","291776","","","","","Out.mid","19","31","Role: Likely a forward with mid rotation role. Unlikely to get a lot of mid time."
"Fwd","","Josh Rachele","ADE","2.9","No DPP   No Inj Adjustment.","","","13.1","","2.5","64.4","70.1","195","Low","No","1017051","","","","","Gen Fwd","22","21",""
"Mid","","Isaac Cumming","ADE","-9.4","No DPP   No Inj Adjustment.","","","10.4","","5.2","64.7","84.6","196","Medium","No","1001396","","","","","Gen Fwd","6","26","Role: Wing. Traded to Adelaide. Small hamstring in December. Back training."
"Def","","Connor Idun","GWS","8.1","No DPP   No Inj Adjustment.","","","4.3","","11.3","72.6","73","197","Low","No","1008083","","","","","Def","25","24",""
"Ruck","","Todd Goldstein","ESS","-26.3","No DPP   No Inj Adjustment.","","","0.1","","15.5","59.9","67.4","198","High","No","271129","","","","","Ruck","14","36",""
"Fwd","","Aaron Naughton","WBD","-2","No DPP   No Inj Adjustment.","","","17.4","","-1.8","59.5","67.9","199","Low","No","1002404","","","","","Key Fwd","20","25",""
"Fwd","","Jamie Cripps","WCE","9.5","No DPP   No Inj Adjustment.","","","8.4","","7.2","71","73.1","200","Low","No","290826","","","","","Gen Fwd","23","32",""
"Def","","Brayden Maynard","COL","6.5","No DPP   No Inj Adjustment.","","","4.9","","10.7","71","67","201","Low","No","992010","","","","","Def","23","28",""
"Mid","","Cameron Guthrie","GEE","-7.1","No DPP   No Inj Adjustment.","","","11.2","","4.4","63.2","79.9","202","High","No","290550","","","","","Distributor","4","32","Injury: Achillies return rd8?, but if healthy may score between 85 and 100."
"Fwd","","Jake Stringer","GWS","4.4","No DPP   No Inj Adjustment.","","","11.9","","3.7","65.9","69.4","203","Low","No","293884","","","","","Gen Fwd","23","30","Role: Forward."
"Fwd","","Kysaiah Pickett","MEL","3.9","Inj Adjust: -0.5","","","11.9","","3.7","66","64.9","204","Medium","No","1008541","","","","","Gen Fwd","21","23","Suspended, will return round 4. Regularly touted to get mid time, never eventuates."
"Mid","","Steele Sidebottom","COL","-1.1","No DPP   No Inj Adjustment.","","","6.5","","9.1","73","70.7","205","Medium","No","280965","","","","","Out.mid","22","34",""
"Ruck","","Rhys Stanley","GEE","-19.2","No DPP   No Inj Adjustment.","","","0.1","","15.5","67","72.2","206","High","No","280317","","","","","Ruck","14","34",""
"Ruck","Fwd","Coen Livingstone","WCE","","No DPP   No Inj Adjustment.","","Ruck: NA  Fwd: NA","","","","","0","207","High","Yes","1028291","","","","","","","19",""
"Mid","","Sam Lalor","RIC","","No DPP   No Inj Adjustment.","","","","","","","0","208","High","No","1028491","","","","","","","18","Injury: Fractured Jaw, may not start season. Punt, number 1 pick. Should get games and opportunity."
"Ruck","","Matt Flynn","WCE","-25.2","No DPP   No Inj Adjustment.","","","0.1","","15.5","61","62.3","209","High","No","993902","","","","","Ruck","4","27","Missed games in 2024 due to health, monitor role. Number 2 ruck."
"Fwd","","Jack Lukosius","PTA","-0.2","No DPP   No Inj Adjustment.","","","15.8","","-0.2","61.3","62.7","210","Low","No","1004095","","","","","Key Fwd","21","24","Role: Key forward, end of qtr defender. Punt."
"Ruck","","Sam Draper","ESS","-19.2","No DPP   No Inj Adjustment.","","","0.1","","15.5","67","75.7","211","Medium","No","1005577","","","","","Ruck","16","26",""
"Mid","","Bailey Williams","WBD","1.6","No DPP   No Inj Adjustment.","","","5.5","","10.1","75.7","75.3","212","Medium","No","992351","","","","","Gen Fwd","24","27",""
"Fwd","","Tyson Stengle","GEE","2.3","No DPP   No Inj Adjustment.","","","13.6","","2","63.8","65.1","213","Medium","No","997230","","","","","Gen Fwd","25","26",""
"Ruck","","Ned Reeves","HAW","-34","No DPP   No Inj Adjustment.","","","0.2","","15.4","52.2","59.5","214","Medium","No","1001024","","","","","Ruck","4","26","Second ruck behind Meek, could play forward."
"Def","","Sam De Koning","GEE","-9.5","No DPP   No Inj Adjustment.","","","14","","1.6","55","49.5","215","Medium","No","1009229","","","","","Def","19","23","Role: Ruck likely, Could be an 80s scorer, role unreliable though."
"Mid","Fwd","Toby Bedford","GWS","-3.2","Mid: -15.8  Fwd: -3.2  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","13.8","Mid: 13.8  Fwd: 18.5","1.8","58.3","67.7","216","Medium","Yes","1008139","","","","","Gen Fwd","23","24","Role: often given tagging role which can see him score better than being a small forward. Punt."
"Fwd","","Mitch Georgiades","PTA","1.5","No DPP   No Inj Adjustment.","","","14.3","","1.3","63","64.1","217","High","No","1010174","","","","","Key Fwd","20","23",""
"Ruck","","Ivan Soldo","PTA","-13.7","No DPP   No Inj Adjustment.","","","0","","15.6","72.5","60.8","218","High","No","998529","","","","","Ruck","8","28","Role: recruited to Port in 2024, competing with Sweet for sole ruck."
"Def","","Mac Andrew","GCS","-0.3","No DPP   No Inj Adjustment.","","","8.2","","7.4","64.2","55.1","219","Low","No","1017396","","","","","Def","20","21",""
"Ruck","","Ned Moyle","GCS","-8.6","No DPP   No Inj Adjustment.","","","0","","15.6","77.6","78.9","220","High","No","1021013","","","","","Ruck","8","22",""
"Fwd","","Nick Watson","HAW","-4.4","No DPP   No Inj Adjustment.","","","19.7","","-4.1","57.1","62","221","Medium","No","1023473","","","","","Gen Fwd","18","19",""
"Mid","","Jack Bowes","GEE","3.4","No DPP   No Inj Adjustment.","","","4.9","","10.7","77.5","71.6","222","Medium","No","998260","","","","","Out.mid","22","27","Traded to GEE in 2024, has some good mid impact/half back play."
"Ruck","","Mate Colina","RIC","","No DPP   No Inj Adjustment.","","","","","","","0","223","Medium","No","1021660","","","","","","","25",""
"Fwd","","Tom Lynch","RIC","-20.7","No DPP   No Inj Adjustment.","","","36.9","","-21.3","40.8","65.6","224","High","No","293813","","","","","Key Fwd","4","32","Battled injury through 2024. Monitor pre-season."
"Fwd","","Kai Lohmann","BRL","-0.3","No DPP   No Inj Adjustment.","","","15.8","","-0.2","61.2","67.7","225","Low","No","1014026","","","","","Gen Fwd","27","21",""
"Ruck","","Jaime Uhr-Henry","HAW","","No DPP   No Inj Adjustment.","","","","","","","0","226","Medium","No","1039499","","","","","","","21",""
"Fwd","","Bobby Hill","COL","-5.4","No DPP   No Inj Adjustment.","","","20.7","","-5.1","56.1","60.9","227","Medium","No","1006148","","","","","Gen Fwd","23","24",""
"Mid","","Levi Ashcroft","BRL","","No DPP   No Inj Adjustment.","","","","","","","0","228","High","No","1028560","","","","","","","18","Interrupted pre-season: rehabilitating injury. Punt. High draft pick. Role: Half forward."
"Fwd","","Ben King","GCS","-8.3","No DPP   No Inj Adjustment.","","","23.7","","-8.1","53.2","50.8","229","Medium","No","1006144","","","","","Key Fwd","22","24",""
"Def","","Ryan Burton","PTA","4.2","No DPP   No Inj Adjustment.","","","5.9","","9.7","68.7","69.7","230","Medium","No","992128","","","","","Distributor","15","27","Role: Distributor, may see increased scoring with Huston leaving Port. Punt."
"Mid","","Conor Nash","HAW","0.2","No DPP   No Inj Adjustment.","","","6","","9.6","74.3","73.6","231","Medium","No","1007124","","","","","In.mid","25","26",""
"Ruck","","Nick Bryan","ESS","-14.8","No DPP   No Inj Adjustment.","","","0","","15.6","71.4","65.3","232","High","No","1011954","","","","","Ruck","5","23",""
"Fwd","","Cameron Zurhaar","NTH","4.9","No DPP   No Inj Adjustment.","","","11.5","","4.1","66.4","70.6","233","Medium","No","998484","","","","","Gen Fwd","22","26",""
"Mid","","Justin McInerney","SYD","0.1","No DPP   No Inj Adjustment.","","","6.1","","9.5","74.2","72.7","234","Medium","No","1011936","","","","","Out.mid","20","24","Role: Outside mid and"
"Mid","","Oliver Dempsey","GEE","-1.7","No DPP   No Inj Adjustment.","","","6.8","","8.8","72.4","73.6","235","Low","No","1025034","","","","","Gen Fwd","25","22","Elite first season, possibility of forward status. Wing player. Punt."
"Mid","","Travis Boak","PTA","-0.1","No DPP   No Inj Adjustment.","","","6.1","","9.5","74","69.8","236","High","No","250365","","","","","Gen Fwd","23","36","Interrupted pre-season: hip, return TBC"
"Fwd","","Charlie Cameron","BRL","-1.5","No DPP   No Inj Adjustment.","","","16.9","","-1.3","60","65.7","237","Low","No","990609","","","","","Gen Fwd","27","30",""
"Def","","Jack Scrimshaw","HAW","4.9","No DPP   No Inj Adjustment.","","","5.6","","10","69.4","71.7","238","Low","No","998114","","","","","Def","24","26",""
"Def","","Lachie Weller","GCS","1.7","No DPP   No Inj Adjustment.","","","7.1","","8.5","66.2","66.5","239","High","No","298524","","","","","Distributor","6","28","Role: Wing role, sharing with Clohsey. Injuries in 2024. Punt."
"Mid","","Jack Ross","RIC","-10.4","No DPP   No Inj Adjustment.","","","10.9","","4.7","63.7","64.6","240","Medium","No","1006133","","","","","Out.mid","7","24","Always best 22 but not a great scorer."
"Ruck","","Darcy Fort","BRL","-17.5","No DPP   No Inj Adjustment.","","","0.1","","15.5","68.7","61","241","High","No","298211","","","","","Ruck","3","31","Role: Backup ruck role. May play forward if there are injuries."
"Ruck","","Oliver Hayes-Brown","RIC","","No DPP   No Inj Adjustment.","","","","","","","0","242","Medium","No","1035199","","","","","","","24",""
"Fwd","","Jack Silvagni","CAR","","No DPP   No Inj Adjustment.","","","","","","","62.2","243","High","No","1001028","","","","","","","27","Injury: ACL in 2024, full training in Jan. Role: Defender, versatile. Punt."
"Mid","","Sam Berry","ADE","-15.2","No DPP   No Inj Adjustment.","","","13.5","","2.1","58.9","67.3","244","Medium","No","1012807","","","","","In.mid","18","22",""
"Def","Fwd","Zac Williams","CAR","-2.1","Def: -5.1  Fwd: -2.1  No Inj Adjustment.","","Def: Inf  Fwd: Inf","11","Fwd: 17.5  Def: 11.0","4.6","59.4","61.8","245","Medium","Yes","294685","","","","","Gen Fwd","19","30","Role: Small forward."
"Mid","","Tom Atkins","GEE","-3.6","No DPP   No Inj Adjustment.","","","7.6","","8","70.5","71.1","246","Low","No","994386","","","","","In.mid","22","29",""
"Mid","","Tanner Bruhn","GEE","-5","No DPP   No Inj Adjustment.","","","8.2","","7.4","69.1","70.1","247","Low","No","1012805","","","","","In.mid","17","22","Role: Inside mid role, low TOG appears to hinder scoring ability."
"Def","","Alex Sexton","GCS","11.8","No DPP   No Inj Adjustment.","","","3.1","","12.5","76.3","46.4","248","High","No","294643","","","","","Distributor","15","31","Role: Numbers inflated due to half back Role in 2024. Avoid in 2025, if playing, will be forward."
"Fwd","","Sam Switkowski","FRE","7.5","No DPP   No Inj Adjustment.","","","9.7","","5.9","69","69.3","249","Medium","No","992059","","","","","Gen Fwd","20","28",""
"Ruck","","Lachlan Smith","WBD","","No DPP   No Inj Adjustment.","","","","","","","0","250","High","No","1027702","","","","","","","19",""
"Fwd","","Sam Powell-Pepper","PTA","-3.8","No DPP   No Inj Adjustment.","","","20.1","","-4.5","56.7","65.8","251","High","No","993979","","","","","Gen Fwd","3","27","Interrupted pre-season: knee, return TBC"
"Mid","","Hunter Clark","STK","-0.6","No DPP   No Inj Adjustment.","","","6.3","","9.3","73.5","66.7","252","High","No","1002264","","","","","In.mid","11","25","Interrupted pre-season: groin."
"Def","","Heath Chapman","FRE","1.1","No DPP   No Inj Adjustment.","","","7.4","","8.2","65.6","63.2","253","Medium","No","1013224","","","","","Def","16","22",""
"Ruck","","Kieran Strachan","ADE","-9.2","No DPP   No Inj Adjustment.","","","0","","15.6","70","64","254","High","No","1008752","","","","","Ruck","2","29","Injury: foot, missing 4 months."
"Def","","Jacob Weitering","CAR","-0.2","No DPP   No Inj Adjustment.","","","8.1","","7.5","64.3","68.1","255","Medium","No","993832","","","","","Def","22","27",""
"Mid","","Sid Draper","ADE","","No DPP   No Inj Adjustment.","","","","","","","0","256","High","No","1022607","","","","","","","18","Interrupted pre-season: Back. High draft pick, likely to get games."
"Def","","Tom Barrass","HAW","-5.8","No DPP   No Inj Adjustment.","","","11.5","","4.1","58.7","61.6","257","Low","No","990290","","","","","Def","18","29",""
"Ruck","","Alex Dodson","STK","","No DPP   No Inj Adjustment.","","","","","","","0","258","High","No","1027011","","","","","","","18",""
"Mid","","Harry Morrison","HAW","-12.9","No DPP   No Inj Adjustment.","","","12.2","","3.4","61.2","72.9","260","Medium","No","1000963","","","","","Distributor","12","26",""
"Mid","","Brayden Fiorini","GCS","-0.3","No DPP   No Inj Adjustment.","","","6.2","","9.4","73.8","74","261","Low","No","993799","","","","","Distributor","12","27","Ability to score, however, fringe 22, only consider if there are significant midfield injuries."
"Def","","Wayne Milera","ADE","-1.7","No DPP   No Inj Adjustment.","","","9.3","","6.3","62.3","63","262","High","No","990882","","","","","Distributor","3","27","Injury: ACL in 2024. Still recovering."
"Mid","Fwd","James Jordon","SYD","-0.9","Mid: -13.5  Fwd: -0.9  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","12.5","Mid: 12.5  Fwd: 16.4","3.1","60.6","60.4","263","Low","Yes","1013409","","","","","Gen Fwd","26","24","Role: Medium forward/tagger."
"Mid","","Marcus Windhager","STK","-3.7","No DPP   No Inj Adjustment.","","","7.6","","8","70.4","68.5","264","Medium","No","1023270","","","","","In.mid","15","21","Off-season surgery, should be fine for Rd1."
"Def","Mid","Darcy Tucker","NTH","4","Def: 4  Mid: -5.6  No Inj Adjustment.","","Def: Inf  Mid: Inf","6","Mid: 8.5  Def: 6.0","9.6","68.5","68.7","265","Medium","Yes","993816","","","","","Def","23","28",""
